Waktu,Suhu,Oksigen,Salinitas,pH
12:48:58 PM,25.9375,4,0,8.035653114
12:48:17 PM,25.875,4,0,8.035653114
12:44:11 PM,25.75,4,0,8.030553818
11:25:19 AM,27.125,4,1.508416057,7.928570747
11:22:23 AM,26.375,4,0,7.96426487
10:40:48 AM,25.25,5,0,7.913273335
10:39:41 AM,25.0625,6,0,7.923471451
10:28:27 AM,27.5,7,0,7.852083683
9:57:52 AM,29.6875,5,0,7.85718298
1:08:57 PM,27.6875,6,0,7.999958992
12:52:01 PM,26.875,7,0,7.948967457
12:30:51 PM,28.75,5,1.555570006,7.903075218
9:02:23 AM,30.64039993,6,0,7.846984386
9:00:43 AM,30.94347572,7,0,7.821488857
8:59:58 AM,31.04450035,5,0,7.826588154
6:54:21 PM,26.14478683,5,1.378203511,7.040471554
6:51:12 PM,26.09427452,7,1.564103723,7.040471554
6:45:16 PM,25.99324989,5,1.403671265,7.05066967
9:18:13 AM,26.346838,5,1.321974158,7.749251842
9:13:09 AM,26.29632568,5,1.243221521,7.774747372
9:10:12 AM,26.19529915,5,1.575612307,7.759449959
9:04:31 AM,26.04376221,5,2.123502254,7.147553444
1:29:54 PM,25.33658791,5,1.801582932,7.132256031
1:25:14 PM,25.43761253,5,2.012491226,7.132256031
1:20:51 PM,25.18504906,7,2.321567297,7.116958618
10:01:15 AM,27.89999962,5,1.541241288,7.111859322
9:52:26 AM,27.89999962,5,1.323901296,7.111859322
9:46:51 AM,27.79999924,5,1.750358105,7.116958618
9:42:44 AM,27.39999962,5,2.150357962,7.127156734
10:04:17 AM,26.19529915,5,1.023167372,7.366816521
10:01:28 AM,26.24581337,5,0.841245353,7.39231205
9:58:10 AM,26.346838,5,0.955245316,8.05010128
9:55:51 AM,26.346838,5,0.875245333,7.994010448
10:57:24 PM,24.57889938,7,0,7.229139805
8:22:29 AM,27.29999924,7,3.642120123,8.305058479
8:17:39 AM,27.29999924,5,3.251220226,8.386644363
8:11:53 AM,28.70000076,5,3.431427956,8.432536125
8:04:44 AM,28.70000076,5,3.012465954,7.116958618
8:58:54 PM,28.70000076,5,3.512367249,7.825738907
8:53:46 PM,28.70000076,5,3.252345324,7.902225971
8:50:06 PM,28.70000076,5,3.422375202,8.437635422
9:39:59 PM,29.17553711,5,2.731452465,7.417808056
11:08:04 AM,28.70000076,5,4.11237812,7.15775156
10:52:56 AM,29.07451248,5,4.368078232,7.188346386
